Ref,A,A1,A2,B,B1,B2,X,X1,A mole,A1 mole,A2 mole,B mole,B1 mole,B2 mole,X mole,X1 mole,Prep Meth,CalcT(K),Calc time(h),Prom Meth,Promoter,Prom %w,Crystal,BandGap(eV),Surface Area(m2/g),CatW,Alcohol%,Sac. Agent1,Sac. Agent2,Light type,Power(W),Wave length(<nm),ProdRate(μmol/gh),Label
[S1],Sr,non,non,Ti,non,non,O,,0.478,,,0.261,,,0.262,,flux,1373,10,impreg,Rh,0.1,cubic,3.2,0.9,1,0,,,Xe,300,300,540,[S1]SrTi
[S1],Sr,non,non,Ti,non,non,O,,0.478,,,0.261,,,0.262,,flux,1273,10,impreg,Rh,0.1,cubic,3.2,1.3,1,0,,,Xe,300,300,540,[S1]SrTi
[S1],Sr,non,non,Ti,non,non,O,,0.478,,,0.261,,,0.262,,flux,1173,10,impreg,Rh,0.1,cubic,3.2,1.9,1,0,,,Xe,300,300,32,[S1]SrTi
[S1],Sr,non,non,Ti,Al,non,O,,0.477,,,0.261,0.0001,,0.262,,flux,1273,10,impreg,Rh,0.1,cubic,3.2,0.9,1,0,,,Xe,300,300,40,[S1]SrTiAl
[S1],Sr,non,non,Ti,Al,non,O,,0.477,,,0.26,0.001,,0.261,,flux,1273,10,impreg,Rh,0.1,cubic,3.2,2.7,1,0,,,Xe,300,300,380,[S1]SrTiAl
[S1],Sr,non,non,Ti,Al,non,O,,0.471,,,0.257,0.014,,0.258,,flux,1273,10,impreg,Rh,0.1,cubic,3.2,2.4,1,0,,,Xe,300,300,700,[S1]SrTiAl
[S2],Mn,non,non,Co,non,non,O,,0.232,,,0.498,,,0.27,,novel,743,12,,,,octahedral,2.1,,4,0,,,visible,64,420,91.07,[S2]MnCo
[S2],Mn,non,non,Co,non,non,O,,0.232,,,0.498,,,0.27,,novel,743,12,,,,octahedral,2.1,,4,5,,,visible,64,420,146.2,[S2]MnCo
[S3],Sr,La,non,Ti,Cr,non,O,,0.475,0.004,,0.26,0.001,,0.26,,HT,,,PD,Pt,0.5,cubic,2.95,,0.5,20,,,Xe,300,420,66,[S3]SrLaTiCr
[S3],Sr,La,non,Ti,Cr,non,O,,0.473,0.007,,0.258,0.003,,0.259,,HT,,,PD,Pt,0.5,cubic,2.9,,0.5,20,,,Xe,300,420,75,[S3]SrLaTiCr
[S3],Sr,La,non,Ti,Cr,non,O,,0.468,0.015,,0.256,0.006,,0.256,,HT,,,PD,Pt,0.5,cubic,2.92,,0.5,20,,,Xe,300,420,76,[S3]SrLaTiCr
[S3],Sr,La,non,Ti,Cr,non,O,,0.465,0.018,,0.254,0.007,,0.255,,HT,,,PD,Pt,0.5,cubic,2.8,,0.5,20,,,Xe,300,420,90,[S3]SrLaTiCr
[S3],Sr,La,non,Ti,Cr,non,O,,0.463,0.022,,0.253,0.008,,0.254,,HT,,,PD,Pt,0.5,cubic,2.85,,0.5,20,,,Xe,300,420,71,[S3]SrLaTiCr
[S3],Sr,La,non,Ti,Cr,non,O,,0.458,0.029,,0.25,0.011,,0.251,,HT,,,PD,Pt,0.5,cubic,2.9,,0.5,20,,,Xe,300,420,39,[S3]SrLaTiCr
[S4],Sr,non,non,Ti,Rh,Sb,O,,0.473,,,0.258,0.003,0.007,0.259,,SSR,1373,10,impreg,IrO2,3,cubic,2.95,,1.66,0,H2SO4,,Xe,300,440,22,[S4]SrTiRhSb
[S4],Sr,non,non,Ti,Rh,Sb,O,,0.473,,,0.258,0.003,0.007,0.259,,SSR,1373,10,impreg,RuO2,1,cubic,2.95,,1.66,0,H2SO4,,Xe,300,440,0.6,[S4]SrTiRhSb
[S4],Sr,non,non,Ti,Rh,Sb,O,,0.473,,,0.258,0.003,0.007,0.259,,SSR,1373,10,PD,Ru,0.5,cubic,2.95,,1.66,0,H2SO4,,Xe,300,440,2.5,[S4]SrTiRhSb
